Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Completion Date,Start Date,Trial Duration,Primary Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
1,NCT04425538,A Phase 2 Trial of Infliximab in Coronavirus Disease 2019 (COVID-19).,,Completed,No Results Available,COVID-19,Drug: Infliximab,Time to improvement in oxygenation|28-day mortality|Assessment of cytokine and inflammatory profile at baseline and at 48 hours after therapy|Qualitative and quantitative toxicity|incidence and duration of supplemental oxygen administration|Incidence and duration of non-invasive ventilation or by non-rebreather mask or high-flow nasal cannula|Incidence and duration of mechanical ventilation|Incidence and duration of vasopressor support|Incidence and duration of extracorporeal membrane oxygenation|Duration of fever|Correlation of cytokine profile to clinical outcomes specified in primary and secondary objectives|Duration of hospitalization|Secondary infections,Tufts Medical Center|National Institutes of Health (NIH),All,"18 Years and older Â  (Adult, Older Adult)",Phase 2,17,Other|NIH,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,STUDY00000564,22-Jan-21,1-Jun-20,235,22-Jan-21,11-Jun-20,,18-Feb-21,"Tufts Medical Center, Boston, Massachusetts, United States",,https://ClinicalTrials.gov/show/NCT04425538
2,NCT04452435,Safety and Efficacy of C21 in Subjects With COVID-19,,Completed,Has Results,COVID-19,Drug: C21|Drug: Placebo,Change From Baseline in C-reactive Protein (CRP) After Treatment With C21 200 mg Daily Dose (100 mg b.i.d.)|Change From Baseline in Body Temperature|Change From Baseline in IL-6|Change From Baseline in IL-10|Change From Baseline in TNF|Change From Baseline in CA125|Change From Baseline in Ferritin|Number of Subjects Not in Need of Oxygen Supply|Number of Subjects Not in Need of Mechanical Invasive or Non-invasive Ventilation|Time to Need of Mechanical Invasive or Non-invasive Ventilation|Time on Oxygen Supply (for Those Not Needing Mechanical Invasive or Non-invasive Ventilation)|Adverse Events,Vicore Pharma AB|Orphan Reach,All,"18 Years to 70 Years Â  (Adult, Older Adult)",Phase 2,206,Industry|Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",VP-C21-006|2020-001502-38,13-Oct-20,21-Jul-20,84,13-Oct-20,30-Jun-20,30-Apr-21,30-Apr-21,"Department of Medicine, Civil Hospital and B J Medical College, Ahmadabad, Gujarat, India|Infectious Disease, Metas Adventist Hospital, Surat, Gujarat, India|Clinical Research Department, Basement, Unity Trauma Centre and ICU (Unity Hospital, Surat, Gujarat, India|First Floor Clinical Research Department Rhythm Heart Institute, Vadodara, Gujarat, India|Internal Medicine S.L. Raheja Hospital, Mumbai, Maharashtra, India|Department of Medicine, Government Medical College and Hospital, Nagpur, Maharashtra, India|Neuro Critical Care, Grant Medical Foundation Ruby Hall Clinic, Pune, Maharashtra, India|Department of Medicine, Noble Hospitals Pvt. Ltd, Pune, Maharashtra, India|Respiratory Medicine, University College Hospital, London, United Kingdom","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/35/NCT04452435/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT04452435
3,NCT04445272,Clinical Trial to Evaluate the Effectiveness and Safety of Tocilizumab for Treating Patients With COVID-19 Pneumonia,,Completed,No Results Available,COVID-19,Drug: Tocilizumab,To calulate the time of intubation|To calculate the time with oxygen therapy|To calculate the time with Non-invasive mechanical ventilation|To evaluate mortality rate|To calculate respiratory function parameters|To evaluate radiological lung extension|To evaluate radiological evolution|To describe the duration of hospitalization and ICU use|To evaluate the requirement of additional organ support|To evaluate the effect of IV tocilizumab on the serum levels of inflammatory markers|To calculate the number of adverse events in patients with COVID-19 pneumonia treated with Tocilizumab|To assess time to reverse-transcriptase polymerase chain reaction (RT-PCR) virus negativity|To evaluate the effect of IV tocilizumab on the serum levels of inflammatory|To calculate the number of serious adverse events in patients with COVID-19 pneumonia treated with Tocilizumab|To calculate the number of adverse events of special interest in patients with COVID-19 pneumonia treated with Tocilizumab|To evaluate respiratory function,Fundacion SEIMC-GESIDA|Roche Pharma AG|Dynamic Science S.L.,All,"18 Years and older Â  (Adult, Older Adult)",Phase 2,495,Other|Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,BREATH-19 (FSG011-20),23-Dec-20,22-May-20,215,23-Dec-20,24-Jun-20,,3-Feb-21,"Hospital Universitario de CabueÃ±es, GijÃ³n, Asturias, Spain|Hospital Universitari de Bellvitge, L'Hospitalet De Llobregat, Barcelona, Spain|Hospital Sant Joan de DÃ©u de Manresa, Manresa, Barcelona, Spain|Hospital de MatarÃ³, MatarÃ³, Barcelona, Spain|Hospital Universitario de Galdakao, Galdakao, Bizkaia, Spain|Hospital Universitario MarquÃ©s Valdecilla, Santander, Cantabria, Spain|Hospital PÃºblico General del Tomelloso, Tomelloso, Ciudad Real, Spain|Hospital Jerez de la Frontera, Jerez De La Frontera, CÃ¡diz, Spain|Hospital Universitari Son Espases, Palma De Mallorca, Islas Baleares, Spain|Hospital Universitario FundaciÃ³n AlcorcÃ³n, AlcorcÃ³n, Madrid, Spain|Hospital Universitario de Fuenlabrada, Fuenlabrada, Madrid, Spain|Hospital Universitario de Getafe, Getafe, Madrid, Spain|Hospital Rey Juan Carlos, MÃ³stoles, Madrid, Spain|Hospital Universitario Rey Juan Carlos, MÃ³stoles, Madrid, Spain|Hospital Universitario Infanta SofÃ­a, San SebastiÃ¡n De Los Reyes, Madrid, Spain|Complejo Hospitalario de Navarra, Pamplona, Navarra, Spain|Hospital Nuestra SeÃ±ora del Prado, Talavera De La Reina, Toledo, Spain|Complejo Hospitalario Universitario de Albacete, Albacete, Spain|Hospital Infanta Cristina, Badajoz, Spain|Hospital ClÃ­nic i Provincial Barcelona, Barcelona, Spain|Hospital de la Santa Creu i Sant Pau, Barcelona, Spain|Hospital Universitario de Burgos, Burgos, Spain|Hospital Universitario Dr. Josep Trueta, Gerona, Spain|Hospital Universitario ClÃ­nico San Cecilio, Granada, Spain|Hospital Universitario Virgen de las Nieves, Granada, Spain|Hospital General Universitario Gregorio MaraÃ±Ã³n, Madrid, Spain|Hospital Universitario FundaciÃ³n JimÃ©nez DÃ­az, Madrid, Spain|Hospital Universitario HM Sanchinarro, Madrid, Spain|Hospital Universitario Infanta Leonor, Madrid, Spain|Hospital Universitario RamÃ³n y Cajal, Madrid, Spain|Hospital ClÃ­nico Universitario Virgen de la Arrixaca, Murcia, Spain|Hospital Regional Universitario de MÃ¡laga, MÃ¡laga, Spain|Complexo Hospitalario Universitario de Ourense, Orense, Spain|Hospital Universitario Salamanca, Salamanca, Spain|Hospital Universitario Virgen de la Macarena, Sevilla, Spain|Hospital Universitario Virgen del RocÃ­o, Sevilla, Spain|Hospital Virgen de la Salud, Toledo, Spain|Hospital Clinico Universitario de Valencia, Valencia, Spain|Hospital Universitari i Poliectenic La Fe, Valencia, Spain|Hospital Universitario Dr. Peset, Valencia, Spain|Hospital ClÃ­nico Universitario Lozano Blesa, Zaragoza, Spain|Hospital Universitario Miguel Servet, Zaragoza, Spain",,https://ClinicalTrials.gov/show/NCT04445272
4,NCT04355741,"Gut Microbiota, ""Spark and Flame"" of COVID-19 Disease",,Completed,No Results Available,COVID-19,Other: Exposure,Differences in gut microbiota composition between COVID-19 patients with different degrees of disease severity.|Differences in gut microbiota composition between COVID-19 patients in relation to mortality.|Differences in gut microbiota composition between COVID-19 patients in relation to length of stay in hospitals.|Differences in gut microbiota composition between COVID-19 patients in relation to duration of mechanical ventilation.,"Universidade Nova de Lisboa|NOVA Medical School of Universidade NOVA de Lisboa|Hospital de SÃ£o Francisco Xavier, Centro Hospitalar de Lisboa Ocidental|Centro Hospitalar UniversitÃ¡rio SÃ£o JoÃ£o|CUF Academic and Research Medical Center|Hospital CUF Infante Santo, S.A.|Centro de Medicina Laboratorial Germano de Sousa, S.A.|CINTESIS - Center for Health Technology and Services Research",All,"18 Years and older Â  (Adult, Older Adult)",,115,Other,Observational,Observational Model: Case-Only|Time Perspective: Cross-Sectional,COVID19_Microbiota,16-Jul-20,20-Apr-20,87,1-Jul-20,21-Apr-20,,25-Aug-20,"Hospital CUF Infante Santo, S.A., Lisbon, Portugal|Hospital de SÃ£o Francisco Xavier, Lisbon, Portugal|Centro Hospitalar UniversitÃ¡rio SÃ£o JoÃ£o, Oporto, Portugal",,https://ClinicalTrials.gov/show/NCT04355741
5,NCT04578158,Trial to Study the Adjuvant Benefits of Quercetin Phytosome in Patients With COVID-19,,Completed,No Results Available,COVID-19,Drug: Standard COVID-19 care|Dietary Supplement: Quercetin Phytosome,Percentage of subjects with COVID-19 disease progression,Liaquat University of Medical & Health Sciences,All,"18 Years and older Â  (Adult, Older Adult)",Phase 3,152,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,LUMHS/REC/894,15-Apr-21,29-Sep-20,198,28-Mar-21,8-Oct-20,,22-Apr-21,"Liaquat University Hospital, JÄmshoro, Sindh, Pakistan",,https://ClinicalTrials.gov/show/NCT04578158
6,NCT04466644,COVID-19: A Prevalence Study of Two ART Centres After the Pandemic Lockdown in the USA (COVID-19 Free Clinics),,Completed,No Results Available,COVID-19,Diagnostic Test: ELISA|Diagnostic Test: RT-PCR,Prevalence of contagiousness in asymptomatic individuals by PCR with nasopharyngeal swabs|Ratio of asymptomatic immunized (IgG) population|To validate saliva specimens as a biological sample for COVID-19 testing,Igenomix,All,"18 Years and older Â  (Adult, Older Adult)",,340,Industry,Observational,Observational Model: Other|Time Perspective: Prospective,IGX2-COV-JC-20-04|20201490,25-Aug-20,8-Jun-20,78,24-Aug-20,10-Jul-20,,14-Sep-20,"Boston IVF Fertility Clinic, Boston, Massachusetts, United States|Utah Fertility Clinic, Pleasant Grove, Utah, United States",,https://ClinicalTrials.gov/show/NCT04466644
7,NCT04610554,Lung Diffusing Capacity for Nitric Oxide and Carbon Monoxide Early After Mild-to-severe COVID-19,,Completed,No Results Available,COVID-19 Pneumonia,,Lung diffusing capacity for nitric oxide (DLNO)|Lung diffusing capacity for carbon monoxide (DLco),"IRCCS Azienda Ospedaliera Universitaria San Martino - IST Istituto Nazionale per la Ricerca sul Cancro, Genoa, Italy",All,"Child, Adult, Older Adult",,74,Other,Observational,Observational Model: Cohort|Time Perspective: Cross-Sectional,SARS-CoV-2_DLNO,12-Oct-20,14-May-20,151,12-Oct-20,30-Oct-20,,30-Oct-20,"IRCCS Azienda Ospedaliera Universitaria San Martino - IST Istituto Nazionale per la Ricerca sul Cancro, Genoa, Italy",,https://ClinicalTrials.gov/show/NCT04610554
8,NCT04342637,COVID-19 Endoscopy Survey,COVID-19 Endo,Completed,No Results Available,COVID-19,Other: Practice details,Effect of GI societies recommendations on prevention of SARS-CoV-2 infection|To measure the percentage change in performed endoscopic procedure in response to COVID-19|Effect of COVID-19 precautions on procedure time|Effect of COVID-19 precautions on time of disinfection|Effect of COVID-19 precautions on procedure success|Effect of COVID-19 precautions on complications|Effect of COVID-19 precautions on working time|Effect of COVID-19 precautions on staff number,Al-Azhar University,All,"30 Years to 70 Years Â  (Adult, Older Adult)",,163,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,WES-2,1-May-20,10-Apr-20,21,25-Apr-20,13-Apr-20,,20-May-20,"Kings County Hospital Center, Brooklyn, NY, USA, Albertson, New York, United States|Faculty of Medicine, Zagazig University, Zagazig, Sharkia, Egypt|Al-Azhar Univerisity, Cairo, Egypt|Ahvaz Imam hospital, Ahvaz, Iran, Islamic Republic of",,https://ClinicalTrials.gov/show/NCT04342637
9,NCT04404179,Setting up a COVID-19 Care Facility at a Prison in Pakistan,,Completed,No Results Available,COVID-19,Other: COVID-19 FACILITY,Recovery|Mortality|ICU admission,"Services Institute of Medical Sciences, Pakistan",All,"Child, Adult, Older Adult",,69,Other,Observational,Observational Model: Case-Only|Time Perspective: Prospective,CovJ,2-May-20,27-Mar-20,36,2-May-20,27-May-20,,29-May-20,"Camp Jail / COVID-19 CARE FACILITY/ SIMS, Lahore, Pakistan",,https://ClinicalTrials.gov/show/NCT04404179
10,NCT04716426,APTâ„¢ T3X on the COVID-19 Contamination Rate,,Completed,Has Results,COVID-19,Drug: Tetracycline hydrochloride 3%|Drug: Placebo,COVID-19 Contamination Rate.|Number of Participants With Adverse Events|Average Number of Adverse Events|Days Over Which an Adverse Event Was Reported|Other Virus or Bacteria Contamination Rate.,University of Nove de Julho|Santa Casa de MisericÃ³rdia de Porto Alegre,All,"18 Years and older Â  (Adult, Older Adult)",Not Applicable,100,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention",4.485.847,25-Mar-21,28-Jan-21,56,25-Mar-21,20-Jan-21,8-Apr-21,8-Apr-21,"Santa Casa de MisericÃ³rdia de Porto Alegre, Porto Alegre, Rio Grande Do Sul, Brazil","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/26/NCT04716426/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT04716426
