NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Gender,Age,Phases,Enrollment,Study Type,URL
NCT04425538,A Phase 2 Trial of Infliximab in Coronavirus Disease 2019 (COVID-19).,,Completed,No Results Available,COVID-19,Drug: Infliximab,All,"18 Years and older   (Adult, Older Adult)",Phase 2,17,Interventional,https://ClinicalTrials.gov/show/NCT04425538
NCT04452435,Safety and Efficacy of C21 in Subjects With COVID-19,,Completed,Has Results,COVID-19,Drug: C21|Drug: Placebo,All,"18 Years to 70 Years   (Adult, Older Adult)",Phase 2,206,Interventional,https://ClinicalTrials.gov/show/NCT04452435
NCT04445272,Clinical Trial to Evaluate the Effectiveness and Safety of Tocilizumab for Treating Patients With COVID-19 Pneumonia,,Completed,No Results Available,COVID-19,Drug: Tocilizumab,All,"18 Years and older   (Adult, Older Adult)",Phase 2,495,Interventional,https://ClinicalTrials.gov/show/NCT04445272
NCT04355741,"Gut Microbiota, ""Spark and Flame"" of COVID-19 Disease",,Completed,No Results Available,COVID-19,Other: Exposure,All,"18 Years and older   (Adult, Older Adult)",,115,Observational,https://ClinicalTrials.gov/show/NCT04355741
NCT04578158,Trial to Study the Adjuvant Benefits of Quercetin Phytosome in Patients With COVID-19,,Completed,No Results Available,COVID-19,Drug: Standard COVID-19 care|Dietary Supplement: Quercetin Phytosome,All,"18 Years and older   (Adult, Older Adult)",Phase 3,152,Interventional,https://ClinicalTrials.gov/show/NCT04578158
NCT04466644,COVID-19: A Prevalence Study of Two ART Centres After the Pandemic Lockdown in the USA (COVID-19 Free Clinics),,Completed,No Results Available,COVID-19,Diagnostic Test: ELISA|Diagnostic Test: RT-PCR,All,"18 Years and older   (Adult, Older Adult)",,340,Observational,https://ClinicalTrials.gov/show/NCT04466644
NCT04610554,Lung Diffusing Capacity for Nitric Oxide and Carbon Monoxide Early After Mild-to-severe COVID-19,,Completed,No Results Available,COVID-19 Pneumonia,,All,"Child, Adult, Older Adult",,74,Observational,https://ClinicalTrials.gov/show/NCT04610554
NCT04342637,COVID-19 Endoscopy Survey,COVID-19 Endo,Completed,No Results Available,COVID-19,Other: Practice details,All,"30 Years to 70 Years   (Adult, Older Adult)",,163,Observational,https://ClinicalTrials.gov/show/NCT04342637
NCT04404179,Setting up a COVID-19 Care Facility at a Prison in Pakistan,,Completed,No Results Available,COVID-19,Other: COVID-19 FACILITY,All,"Child, Adult, Older Adult",,69,Observational,https://ClinicalTrials.gov/show/NCT04404179
NCT04716426,APT™ T3X on the COVID-19 Contamination Rate,,Completed,Has Results,COVID-19,Drug: Tetracycline hydrochloride 3%|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,100,Interventional,https://ClinicalTrials.gov/show/NCT04716426
NCT04389658,Contagiousness and Immunogenicity Status of COVID-19 in Asymptomatic Population (COVID-19 CONDITION),CONDITION,Completed,No Results Available,COVID-19,,All,"Child, Adult, Older Adult",,1526,Observational,https://ClinicalTrials.gov/show/NCT04389658
NCT04558372,Genosvid Diagnostic Test for Early Detection of COVID-19,,Completed,No Results Available,COVID-19,Other: exhaled breath sampling,All,"4 Years and older   (Child, Adult, Older Adult)",Not Applicable,1999,Interventional,https://ClinicalTrials.gov/show/NCT04558372
NCT04392141,Colchicine Plus Phenolic Monoterpenes to Treat COVID-19,,Completed,Has Results,COVID-19,Drug: Standard Treatment|Drug: Oral administration of Colchicine plus Herbal Phenolic Monoterpene Fractions,All,"10 Years and older   (Child, Adult, Older Adult)",Phase 2,120,Interventional,https://ClinicalTrials.gov/show/NCT04392141
NCT04418284,Online Learning of Veterinary Anatomy During COVID-19 Pandemic,,Completed,No Results Available,COVID-19,Other: survey,All,"17 Years to 35 Years   (Child, Adult)",,1517,Observational,https://ClinicalTrials.gov/show/NCT04418284
NCT04449718,Vitamin D Supplementation in Patients With COVID-19,,Completed,No Results Available,COVID-19,Dietary Supplement: Vitamin D|Dietary Supplement: Placebo,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,240,Interventional,https://ClinicalTrials.gov/show/NCT04449718
NCT04324489,DAS181 for Severe COVID-19: Compassionate Use,,Completed,No Results Available,COVID-19,Drug: DAS181,All,"18 Years to 70 Years   (Adult, Older Adult)",Not Applicable,4,Interventional,https://ClinicalTrials.gov/show/NCT04324489
